asset_hub,acq_seller_id,acq_trade_id,seller_name,trade_name,sellertape_id,sellertape_altid,asset_status,street_address,city,state,zip,property_type,occupancy,year_built,sq_ft,lot_size,beds,baths,current_balance,deferred_balance,interest_rate,next_due_date,last_paid_date,first_pay_date,origination_date,original_balance,original_term,original_rate,original_maturity_date,default_rate,months_dlq,current_maturity_date,current_term,accrued_note_interest,accrued_default_interest,escrow_balance,escrow_advance,recoverable_corp_advance,late_fees,other_fees,suspense_balance,total_debt,origination_value,origination_arv,origination_value_date,seller_value_date,seller_arv_value,seller_asis_value,additional_asis_value,additional_arv_value,additional_value_date,fc_flag,fc_first_legal_date,fc_referred_date,fc_judgement_date,fc_scheduled_sale_date,fc_sale_date,fc_starting,bk_flag,bk_chapter,mod_flag,mod_date,mod_maturity_date,mod_term,mod_rate,mod_initial_balance,boarded_by
18,,,HECM,FLC-25 - HECM,663283,371-413486,,45 KOONZ RD,VOORHEESVILLE,NY,12186,,,,,,,,"451,344",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,HECM,FLC-25 - HECM,663180,137-389158,,2333 W WARREN BLVD,CHICAGO,IL,60612,,,,,,,,"595,245",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,HECM,FLC-25 - HECM,663290,374-526967,,291 CONCORD AVE,OCEANSIDE,NY,11572,,,,,,,,"656,150",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,HECM,FLC-25 - HECM,663061,091-512233,,2336 S CENTRAL AVE,FLAGLER BEACH,FL,32136,,,,,,,,"467,907",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,HECM,FLC-25 - HECM,663238,352-656736,,41 9TH AVE,EAST ORANGE,NJ,7018,,,,,,,,"290,898",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,HECM,FLC-25 - HECM,663074,092-950874,,6320 BOCA DEL MAR DRIVE UNIT #406,BOCA RATON,FL,33433,,,,,,,,"245,095",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,HECM,FLC-25 - HECM,663106,095-026346,,12678 VILLA RAVENNA,BOYNTON BEACH,FL,33436,,,,,,,,"427,231",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,HECM,FLC-25 - HECM,663096,094-513316,,118 SW LANCASTER AVE,PORT SAINT LUCIE,FL,34984,,,,,,,,"281,218",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,HECM,FLC-25 - HECM,662815,061-211160,,90 KAREN AVE,WATERBURY,CT,6708,,,,,,,,"200,262",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,HECM,FLC-25 - HECM,663117,095-036184,,546 NW 8TH AVE,HOMESTEAD,FL,33030,,,,,,,,"332,705",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
