asset_hub_id,source,value_date,asis_value,arv_value,rehab_est_total,roof_est,kitchen_est,bath_est,flooring_est,windows_est,appliances_est,plumbing_est,electrical_est,landscaping_est,notes,links,created_by_id,updated_by_id
132,Internal,,325000,,,,,,,,,,,,,,,
133,Internal,,450000,,,,,,,,,,,,,,,
134,Internal,,780000,,,,,,,,,,,,,,,
135,Internal,,695000,,,,,,,,,,,,,,,
136,Internal,,525000,,,,,,,,,,,,,,,
137,Internal,,355000,,,,,,,,,,,,,,,
138,Internal,,525000,,,,,,,,,,,,,,,
139,Internal,,325000,,,,,,,,,,,,,,,
140,Internal,,310000,,,,,,,,,,,,,,,
141,Internal,,390000,,,,,,,,,,,,,,,
142,Internal,,275000,,,,,,,,,,,,,,,
143,Internal,,300000,,,,,,,,,,,,,,,
144,Internal,,300000,,,,,,,,,,,,,,,
145,Internal,,230000,,,,,,,,,,,,,,,
146,Internal,,375000,,,,,,,,,,,,,,,
147,Internal,,400000,,,,,,,,,,,,,,,
148,Internal,,430000,,,,,,,,,,,,,,,
149,Internal,,375000,,,,,,,,,,,,,,,
150,Internal,,175000,,,,,,,,,,,,,,,
151,Internal,,200000,,,,,,,,,,,,,,,
152,Internal,,475000,,,,,,,,,,,,,,,
153,Internal,,410000,,,,,,,,,,,,,,,
154,Internal,,350000,,,,,,,,,,,,,,,
155,Internal,,440000,,,,,,,,,,,,,,,
156,Internal,,775000,,,,,,,,,,,,,,,
157,Internal,,325000,,,,,,,,,,,,,,,
158,Internal,,295000,,,,,,,,,,,,,,,
159,Internal,,610000,,,,,,,,,,,,,,,
160,Internal,,280000,,,,,,,,,,,,,,,
161,Internal,,500000,,,,,,,,,,,,,,,
162,Internal,,215000,,,,,,,,,,,,,,,
163,Internal,,705000,,,,,,,,,,,,,,,
164,Internal,,260000,,,,,,,,,,,,,,,
165,Internal,,585000,,,,,,,,,,,,,,,
166,Internal,,350000,,,,,,,,,,,,,,,
167,Internal,,695000,,,,,,,,,,,,,,,
168,Internal,,635000,,,,,,,,,,,,,,,
169,Internal,,335000,,,,,,,,,,,,,,,
170,Internal,,280000,,,,,,,,,,,,,,,
171,Internal,,295000,,,,,,,,,,,,,,,
172,Internal,,395000,,,,,,,,,,,,,,,
173,Internal,,350000,,,,,,,,,,,,,,,
174,Internal,,850000,,,,,,,,,,,,,,,
175,Internal,,250000,,,,,,,,,,,,,,,
176,Internal,,430000,,,,,,,,,,,,,,,
177,Internal,,650000,,,,,,,,,,,,,,,
178,Internal,,490000,,,,,,,,,,,,,,,
179,Internal,,425000,,,,,,,,,,,,,,,
180,Internal,,950000,,,,,,,,,,,,,,,
181,Internal,,275000,,,,,,,,,,,,,,,
182,Internal,,340000,,,,,,,,,,,,,,,
183,Internal,,500000,,,,,,,,,,,,,,,
184,Internal,,425000,,,,,,,,,,,,,,,
185,Internal,,450000,,,,,,,,,,,,,,,
186,Internal,,375000,,,,,,,,,,,,,,,
187,Internal,,350000,,,,,,,,,,,,,,,
188,Internal,,750000,,,,,,,,,,,,,,,
189,Internal,,525000,,,,,,,,,,,,,,,
190,Internal,,310000,,,,,,,,,,,,,,,
191,Internal,,640000,,,,,,,,,,,,,,,
192,Internal,,275000,,,,,,,,,,,,,,,
193,Internal,,270000,,,,,,,,,,,,,,,
194,Internal,,325000,435000,,,,,,,,,,,,,,
195,Internal,,805000,1200000,,,,,,,,,,,,,,
196,Internal,,1200000,1450000,,,,,,,,,,,,,,
197,Internal,,475000,525000,,,,,,,,,,,,,,
198,Internal,,225000,375000,,,,,,,,,,,,,,
199,Internal,,300000,495000,,,,,,,,,,,,,,
200,Internal,,425000,425000,,,,,,,,,,,,,,
201,Internal,,375000,500000,,,,,,,,,,,,,,
202,Internal,,735000,850000,,,,,,,,,,,,,,
203,Internal,,400000,500000,,,,,,,,,,,,,,
204,Internal,,440000,525000,,,,,,,,,,,,,,
205,Internal,,455000,545000,,,,,,,,,,,,,,
206,Internal,,215000,250000,,,,,,,,,,,,,,
207,Internal,,330000,475000,,,,,,,,,,,,,,
208,Internal,,375000,415000,,,,,,,,,,,,,,
209,Internal,,395000,600000,,,,,,,,,,,,,,
210,Internal,,250000,325000,,,,,,,,,,,,,,
211,Internal,,625000,725000,,,,,,,,,,,,,,
212,Internal,,415000,560000,,,,,,,,,,,,,,
213,Internal,,475000,550000,,,,,,,,,,,,,,
214,Internal,,675000,775000,,,,,,,,,,,,,,
215,Internal,,800000,1000000,,,,,,,,,,,,,,
216,Internal,,599000,599000,,,,,,,,,,,,,,
217,Internal,,124000,124000,,,,,,,,,,,,,,
218,Internal,,340000,480000,,,,,,,,,,,,,,
219,Internal,,290000,290000,,,,,,,,,,,,,,
220,Internal,,665000,799500,,,,,,,,,,,,,,
221,Internal,,365276,,,,,,,,,,,,,,,
222,Internal,,425000,600000,,,,,,,,,,,,,,
223,Internal,,425000,600000,,,,,,,,,,,,,,
224,Internal,,275000,275000,,,,,,,,,,,,,,
225,Internal,,299000,299000,,,,,,,,,,,,,,
226,Internal,,100000,175000,,,,,,,,,,,,,,
227,Internal,,390000,650000,,,,,,,,,,,,,,
228,Internal,,825000,1125000,,,,,,,,,,,,,,
229,Internal,,350000,350000,,,,,,,,,,,,,,
230,Internal,,325000,419000,,,,,,,,,,,,,,
231,Internal,,550000,645000,,,,,,,,,,,,,,
232,Internal,,375000,495000,,,,,,,,,,,,,,
233,Internal,,425000,525000,,,,,,,,,,,,,,
234,Internal,,625000,625000,,,,,,,,,,,,,,
235,Internal,,300000,525000,,,,,,,,,,,,,,
236,Internal,,875000,875000,,,,,,,,,,,,,,
237,Internal,,255000,325000,,,,,,,,,,,,,,
238,Internal,,320000,320000,,,,,,,,,,,,,,
239,Internal,,250000,295000,,,,,,,,,,,,,,
240,Internal,,400000,550000,,,,,,,,,,,,,,
241,Internal,,475000,595000,,,,,,,,,,,,,,
242,Internal,,375000,375000,,,,,,,,,,,,,,
243,Internal,,315000,375000,,,,,,,,,,,,,,
244,Internal,,245000,325000,,,,,,,,,,,,,,
245,Internal,,400000,625000,,,,,,,,,,,,,,
246,Internal,,625000,795000,,,,,,,,,,,,,,
247,Internal,,375000,395000,,,,,,,,,,,,,,
248,Internal,,315000,430000,,,,,,,,,,,,,,
249,Internal,,455000,499000,,,,,,,,,,,,,,
250,Internal,,540000,540000,,,,,,,,,,,,,,
251,Internal,,375000,475000,,,,,,,,,,,,,,
252,Internal,,675000,1000000,,,,,,,,,,,,,,
253,Internal,,495000,575000,,,,,,,,,,,,,,
254,Internal,,255000,350000,,,,,,,,,,,,,,
255,Internal,,420000,525000,,,,,,,,,,,,,,
256,Internal,,325000,390000,,,,,,,,,,,,,,
257,Internal,,449000,575000,,,,,,,,,,,,,,
258,Internal,,325000,405000,,,,,,,,,,,,,,
259,Internal,,535000,595000,,,,,,,,,,,,,,
260,Internal,,285000,310000,,,,,,,,,,,,,,
261,Internal,,450000,525000,,,,,,,,,,,,,,
262,Internal,,425000,425000,,,,,,,,,,,,,,
132,broker,07/01/2025," 403,741"," 230,000",,,,,,,,,,,,,,
133,broker,06/21/2025," 275,000"," 550,000",,,,,,,,,,,,,,
134,broker,07/01/2025," 835,025",,,,,,,,,,,,,,,
135,broker,08/14/2025," 545,000"," 755,000",,,,,,,,,,,,,,
136,broker,03/04/2025," 350,000",,,,,,,,,,,,,,,
137,broker,," 265,000"," 400,000",,,,,,,,,,,,,,
138,broker,04/30/2025," 415,000"," 455,000",,,,,,,,,,,,,,
139,broker,02/12/2025," 240,000"," 310,000",,,,,,,,,,,,,,
140,broker,02/14/2025," 250,000"," 350,000",,,,,,,,,,,,,,
141,broker,07/01/2025," 464,521"," 315,900",,,,,,,,,,,,,,
142,broker,06/09/2025," 170,000"," 200,000",,,,,,,,,,,,,,
143,broker,07/01/2025," 349,233"," 300,000",,,,,,,,,,,,,,
144,broker,03/13/2025," 175,000"," 320,000",,,,,,,,,,,,,,
145,broker,07/01/2025," 282,230",,,,,,,,,,,,,,,
