seller tape,Servicer,asset_hub_id,purchase_price,purchase_date,outcome_blend,servicing_transfer_duration,performing_duration,pre_mod_duration,mod_duration,pre_fc_duration,fc_progress_duration,fc_left_duration,fc_duration_state_avg,dil_duration,bk_duration,eviction_duration,renovation_duration,reo_marketing_duration,local_market_ext_duration,rural_ext_duration,fc_expenses,fc_legal_fees,other_fc_fees,dil_fees,cfk_fees,bk_legal_fees,eviction_fees,reconciled_rehab_cost,trashout_cost,property_preservation_cost,total_insurance,total_property_tax,total_hoa,total_utility,total_other,acq_costs,am_fees,tax_title_transfer_cost,broker_fees,servicing_board_fee,servicing_current,servicing_30d,servicing_60d,servicing_90d,servicing_120d,servicing_fc,servicing_bk,servicing_liq_fee,principal_collect,interest_collect,mod_down_payment,rental_income,cam_income,other_income,expected_exit_date,expected_gross_proceeds,expected_net_proceeds,expected_pl,expected_cf,expected_irr,expected_moic,expected_npv,expected_pv,outcome_perf,outcome_mod,outcome_fcsale,outcome_dil_asis,outcome_dil_arv,outcome_reo_asis,outcome_reo_arv,bid_pct_upb,bid_pct_td,bid_pct_sellerasis,bid_pct_pv
7000139091,2000013861,1,25350.7,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/26/2021,47000,47000,,,,,,,,,,,,,,,,,
7000089233,2000013855,2,271536.28,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/2023,550500,550500,,,,,,,,,,,,,,,,,
7000080311,2000013851,3,451384.51,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/2023,645000,645000,,,,,,,,,,,,,,,,,
7000077392,2000013847,4,298435.09,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/26/2021,471550,471550,,,,,,,,,,,,,,,,,
7000087865,2000013853,5,299059.49,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/2023,532000,532000,,,,,,,,,,,,,,,,,
7000089438,2000013856,6,185424.57,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/23/2022,302000,302000,,,,,,,,,,,,,,,,,
7000090803,2000013857,7,199301.67,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/25/2022,309000,309000,,,,,,,,,,,,,,,,,
7000118729,2000013859,8,98199.71,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/21/2021,96250,96250,,,,,,,,,,,,,,,,,
7000227916,2000013864,9,1747728.66,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/26/2021,2565000,2565000,,,,,,,,,,,,,,,,,
7000078350,2000013848,10,399048.56,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/2023,479200,479200,,,,,,,,,,,,,,,,,
7000078361,2000013849,11,115489.19,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/2023,156000,156000,,,,,,,,,,,,,,,,,
7000080298,2000013850,12,377751.81,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/2023,599000,599000,,,,,,,,,,,,,,,,,
7000080416,2000013852,13,925631.33,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/23/2022,1275000,1275000,,,,,,,,,,,,,,,,,
7000087872,2000013854,14,301314.77,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/2023,525000,525000,,,,,,,,,,,,,,,,,
7000091624,2000013858,15,151668.86,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/23/2022,243750,243750,,,,,,,,,,,,,,,,,
7000189267,2000013862,16,29285.67,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/25/2021,42000,42000,,,,,,,,,,,,,,,,,
7000121628,2000013860,17,68179.1,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/25/2022,108750,108750,,,,,,,,,,,,,,,,,
7000193044,2000013863,18,45722.35,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/26/2021,56000,56000,,,,,,,,,,,,,,,,,
7000228444,2000013865,19,672296.12,03/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/25/2022,997804,997804,,,,,,,,,,,,,,,,,
9160050436,20018,20,446575,08/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/14/2022,575000,575000,,,,,,,,,,,,,,,,,
7000064276,20017,21,335125,08/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/24/2023,456675,456675,,,,,,,,,,,,,,,,,
9160050442,2000019602,22,403625.13,08/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/24/2023,450000,450000,,,,,,,,,,,,,,,,,
9160042096,2000019601,23,801000,08/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/23/2023,1200000,1200000,,,,,,,,,,,,,,,,,
9160050444,2000019603,24,319132.35,08/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/04/2023,497000,497000,,,,,,,,,,,,,,,,,
157479,2000018088,25,122065.41,06/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/27/2022,140000,140000,,,,,,,,,,,,,,,,,
146283,2000018086,26,171924.63,06/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/26/2022,265000,265000,,,,,,,,,,,,,,,,,
157287,2000018087,27,121420.68,06/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/27/2022,255000,255000,,,,,,,,,,,,,,,,,
47747283,2000021924,28,269145.94,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/16/2023,307765.21,307765.21,,,,,,,,,,,,,,,,,
47778765,2000021919,29,515820.24,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/25/2023,645642.4,645642.4,,,,,,,,,,,,,,,,,
47805786,2000021905,30,67966.58,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/26/2023,112351.74,112351.74,,,,,,,,,,,,,,,,,
47907982,2000021892,31,556777.13,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/26/2023,670721.79,670721.79,,,,,,,,,,,,,,,,,
47907737,2000021539,32,535550.17,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/28/2023,784835.63,784835.63,,,,,,,,,,,,,,,,,
47875122,2000021912,33,61811.53,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/16/2023,78350.54,78350.54,,,,,,,,,,,,,,,,,
47840871,2000021907,34,330087.31,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/28/2023,399905.85,399905.85,,,,,,,,,,,,,,,,,
47907773,2000021930,35,329747.41,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/26/2023,435055.99,435055.99,,,,,,,,,,,,,,,,,
47908027,2000021537,36,189065.17,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/26/2023,250664.22,250664.22,,,,,,,,,,,,,,,,,
47752842,2000021901,37,137654.78,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/04/2023,176025.04,176025.04,,,,,,,,,,,,,,,,,
47806654,2000021902,38,187625.33,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/04/2023,224619.54,224619.54,,,,,,,,,,,,,,,,,
47860268,2000021910,39,247739.1,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2022,297217.54,297217.54,,,,,,,,,,,,,,,,,
47805823,2000021928,40,64572.44,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/13/2022,77936.97,77936.97,,,,,,,,,,,,,,,,,
47805822,2000021932,41,245133.35,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/23/2023,364409.43,364409.43,,,,,,,,,,,,,,,,,
47730807,2000021893,42,194840.21,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/01/2022,221183.04,221183.04,,,,,,,,,,,,,,,,,
47907937,2000021895,43,146865.62,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/26/2023,203519.06,203519.06,,,,,,,,,,,,,,,,,
47840872,2000021909,44,303177.76,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/26/2023,414499.71,414499.71,,,,,,,,,,,,,,,,,
47883216,2000021914,45,81191.03,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/10/2023,90247.84,90247.84,,,,,,,,,,,,,,,,,
47805820,2000021918,46,111349.46,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/28/2022,139300.13,139300.13,,,,,,,,,,,,,,,,,
46800125,2000021538,47,257749.69,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/28/2023,276467.43,276467.43,,,,,,,,,,,,,,,,,
47907662,2000021540,48,145475.2,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/28/2022,192204.91,192204.91,,,,,,,,,,,,,,,,,
47907944,2000021896,49,67868.8,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2022,95889.7,95889.7,,,,,,,,,,,,,,,,,
47731072,2000021897,50,134755.98,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/16/2023,162958.72,162958.72,,,,,,,,,,,,,,,,,
47805781,2000021904,51,65336.23,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/01/2023,93158.63,93158.63,,,,,,,,,,,,,,,,,
47888519,2000021916,52,107914.34,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/19/2023,149850.94,149850.94,,,,,,,,,,,,,,,,,
47768189,2000021921,53,130848.94,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/23/2022,164039.46,164039.46,,,,,,,,,,,,,,,,,
47907983,2000021899,54,129145.75,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/10/2023,175592.19,175592.19,,,,,,,,,,,,,,,,,
47752524,2000021900,55,178925.15,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2022,220536.93,220536.93,,,,,,,,,,,,,,,,,
47806659,2000021915,56,203687.43,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/23/2023,299177.71,299177.71,,,,,,,,,,,,,,,,,
47768218,2000021922,57,218741.9,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/27/2023,318896.15,318896.15,,,,,,,,,,,,,,,,,
47759346,2000021923,58,130265.08,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/23/2022,213653.75,213653.75,,,,,,,,,,,,,,,,,
47896489,2000021913,59,81215.14,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/11/2022,95604.51,95604.51,,,,,,,,,,,,,,,,,
47855503,2000021931,60,472033.96,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/28/2022,658092.62,658092.62,,,,,,,,,,,,,,,,,
47907952,2000021891,61,64251.57,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/24/2023,83655.15,83655.15,,,,,,,,,,,,,,,,,
47840878,2000021908,62,866865.52,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/10/2023,1205485.17,1205485.17,,,,,,,,,,,,,,,,,
47854048,2000021911,63,106731.7,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/24/2023,141821.67,141821.67,,,,,,,,,,,,,,,,,
47883225,2000021917,64,67133.94,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/16/2023,79232.68,79232.68,,,,,,,,,,,,,,,,,
47713810,2000021929,65,194724.11,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/23/2023,290681.33,290681.33,,,,,,,,,,,,,,,,,
47731363,2000021898,66,65079.01,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2022,77022.35,77022.35,,,,,,,,,,,,,,,,,
47806650,2000021903,67,510034.28,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/26/2023,643523.11,643523.11,,,,,,,,,,,,,,,,,
47907771,2000021927,68,99382.99,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/05/2023,118928.82,118928.82,,,,,,,,,,,,,,,,,
47730813,2000021894,69,394106.42,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/26/2023,511408.27,511408.27,,,,,,,,,,,,,,,,,
47908011,2000021925,70,139173.94,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/26/2023,185949.43,185949.43,,,,,,,,,,,,,,,,,
47907807,2000021926,71,130275.71,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/28/2023,169640,169640,,,,,,,,,,,,,,,,,
47824550,2000021906,72,222518.51,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/26/2023,310246.77,310246.77,,,,,,,,,,,,,,,,,
47768196,2000021920,73,289823.03,12/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/23/2023,398911.58,398911.58,,,,,,,,,,,,,,,,,
1505101517,2000022477,74,100000,01/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2023,5000,5000,,,,,,,,,,,,,,,,,
1505106137,20019,75,416327.08,01/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2023,605964.99,605964.99,,,,,,,,,,,,,,,,,
3313130883,20020,76,200000,01/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2023,187657.15,187657.15,,,,,,,,,,,,,,,,,
FLCR8-1,20007,77,75000,01/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/31/2022,194241.6,194241.6,,,,,,,,,,,,,,,,,
FLCR8-3,20009,78,75000,01/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/30/2022,230563.2,230563.2,,,,,,,,,,,,,,,,,
