seller tape,Servicer,asset_hub_id,source,asis_value,arv_value,value_date,rehab_est_total,roof_est,kitchen_est,bath_est,flooring_est,windows_est,appliances_est,plumbing_est,electrical_est,landscaping_est,notes,links
441-9025348,713497,1069,Broker,475000,525000,10/2/2024,  ,,,,,,,,,,,
387-1050331,713462,1070,Broker,599000,650000,10/7/2024,"30,000.00",,,,,,,,,,,
374-5419956,713390,1071,Broker,550000,650000,9/29/2024,"60,000.00",,,,,,,,,,,
061-3099124,713156,1072,Broker,300000,475000,10/1/2024,"100,000.00",,,,,,,,,,,
387-0202863,713442,1073,Broker,320000,350000,10/7/2024,"20,000.00",,,,,,,,,, Waterfront with Dock ,
161-3261577,713723,1074,Broker,225000,350000,,,,,,,,,,,,,
541-6502508,713550,1075,Broker,340000,425000,9/29/2024,"50,000.00",,,,,,,,,,,
441-9394720,713505,1076,Broker,295000,325000,10/2/2024,  ,,,,,,,,,,,
352-5976251,713596,1077,Broker,375000,500000,10/6/2024,,,,,,,,,,,,
095-0277699,713228,1078,Broker,485000,575000,10/5/2024,"45,000.00",,,,,,,,,,###############################################################################################################################################################################################################################################################,
387-0478524,713451,1079,Broker,350000,395000,10/7/2024,"20,000.00",,,,,,,,,,,
511-0492900,713651,1080,Broker,470000,530000,10/6/2024,"60,000.00",,,,,,,,,, Online photos show potential hoarding situation and pool maintenance required ,
441-7859720,713475,1081,Broker,245000,250000,10/2/2024,,,,,,,,,,,,
361-3840640,713606,1082,Broker,,,,,,,,,,,,,,,
081-0888019,713204,1083,Broker,975000,1110000,10/2/2024,,,,,,,,,,," Completely boarded up, overgrown plants on house ",
374-6028705,713417,1084,Broker,1200000,1450000,10/12/2024,"150,000.00",,,,,,,,,,,
061-3502718,713167,1085,Broker,400000,600000,10/1/2024,"85,000.00",,,,,,,,,,,
361-3889683,713709,1086,Broker,,,,,,,,,,,,,,,
492-7447885,713529,1087,Broker,,320000,10/6/2024,,,,,,,,,,,,
352-7644396,713365,1088,Broker,700000,800000,10/6/2024,,,,,,,,,,,,
352-7556387,713354,1089,Broker,,,,,,,,,,,,,," 6 acres, good area, $1m house next door ",
332-4750321,713589,1090,Broker,,,,,,,,,,,,,,,
141-1549250,713273,1091,Broker,,,,,,,,,,,,,,,
451-0883140,713516,1092,Broker,310000,370000,10/7/2024,,,,,,,,,,,###############################################################################################################################################################################################################################################################,
361-2921441,713378,1093,Broker,,,,,,,,,,,,,,,
249-5030025,713310,1094,Broker,445000,526000,10/2/2024,"17,000.00",,,,,,,,,," Unknown occupancy, no vacant letters, Gutter repairs, deck repairs, side storm door broken glass ",
374-6245518,713617,1095,Broker,850000,1200000,10/1/2024,  ,,,,,,,,,,,
081-0898176,713215,1096,Broker,950000,1175000,10/2/2024,"3,000.00",,,,,,,,,," Vacant, can’t see inside, one broken window in back ",
061-2891462,713147,1097,Broker,300000,430000,10/1/2024,"75,000.00",,,,,,,,,,,
374-6066177,713420,1098,Broker,450000,680000,9/29/2024,"175,000.00",,,,,,,,,,,
374-4516715,713383,1099,Broker,600000,800000,9/29/2024,"100,000.00",,,,,,,,,,,
441-7373212,713697,1100,Broker,395000,429900,10/2/2024,  ,,,,,,,,,,Great schools,
