State Abbr,State,Judicial,Tax Rate,Assessed Value Ratio,Pmt per yr,Utilities,HOA,Insurance %,Occupied Rehab,Vacant Rehab,Eviction Cost,FC Fees,BK Fees,Addl Legal Fees,DIL Success Probability,DIL_CFK Cost,Probate Cost,Eviction Duration,PreFC Duration,FC Duration,DIL Duration,REO Market Duration (Months),REO Ext,Rural Ext,Rehab Duration,Transfer Cost,Transfer Tax,Annual Value Adjustment
AK,Alaska,Non-Judicial,0.0104,1,4,100,300,0.003,0.06,0.15,1250,1200,1000,1500,0.3,5000,5000,6,3,7,6,4,0,3,4,500,0,0.0104
AL,Alabama,Non-Judicial,0.004,0.1,4,130,300,0.012,0.06,0.15,1250,550,1000,1500,0.3,5000,5000,6,3,8,6,4,0,3,4,350,0.0025,0.0048
AR,Arkansas,Non-Judicial,0.0064,0.2,4,100,300,0.007,0.06,0.15,1250,2000,1000,1500,0.3,5000,5000,6,3,6,6,4,0,3,4,200,0,0.0088
AZ,Arizona,Non-Judicial,0.0063,0.1,4,200,448,0.004,0.06,0.15,1250,2155,1000,1500,0.3,5000,5000,6,3,7,6,4,0,3,4,350,0.0033,-0.0096
CA,California,Non-Judicial,0.0075,1,4,200,387,0.003,0.06,0.15,1250,1000,1000,1500,0.3,5000,5000,6,3,8,6,4,0,3,4,550,0.0011,0.0056
CO,Colorado,Non-Judicial,0.0055,0.0715,4,200,350,0.006,0.06,0.15,1250,875,1000,2500,0.3,5000,5000,6,3,7,6,4,0,3,4,400,0.0001,0.0028
CT,Connecticut,Judicial,0.0179,0.7,4,220,350,0.006,0.06,0.15,1250,3000,1000,1500,0.3,5000,5000,6,3,12,6,4,0,3,4,350,0.0075,0.0208
DC,District of Columbia,Non-Judicial,0.0062,1,4,100,350,0.001,0.06,0.15,1250,2550,1000,1500,0.3,5000,5000,6,3,6,6,4,0,3,4,350,0.011,-0.016
DE,Delaware,Non-Judicial,0.0061,1,4,200,300,0.004,0.06,0.15,1250,1590,1000,1500,0.3,5000,5000,6,3,11,6,4,0,3,4,425,0.02,0.0132
FL,Florida,Judicial,0.0091,1,4,100,389,0.016,0.06,0.15,1250,2000,1000,2000,0.3,5000,5000,6,3,16,6,4,0,3,4,350,0.007,-0.012
GA,Georgia,Non-Judicial,0.0092,0.4,4,200,300,0.004,0.06,0.15,1250,600,1000,1500,0.3,5000,5000,6,3,6,6,4,0,3,4,400,0.001,0.004
HI,Hawaii,Judicial,0.0032,1,4,170,350,0.001,0.06,0.15,1250,3500,1000,1500,0.3,5000,5000,6,3,11,6,4,0,3,4,500,0.01,-0.0192
IA,Iowa,Judicial,0.0084,1,4,150,300,0.01,0.06,0.15,1250,850,1000,1500,0.3,5000,5000,6,3,17,6,4,0,3,4,300,0.0016,0.0096
ID,Idaho,Judicial,0.0067,1,4,160,300,0.004,0.06,0.15,1250,2500,1000,1500,0.3,5000,5000,6,3,14,6,4,0,3,4,350,0,0.0112
IL,Illinois,Judicial,0.0208,0.3333,4,120,288,0.007,0.06,0.15,1250,3000,1000,1500,0.3,5000,5000,6,3,12,6,4,0,3,4,300,0.012,0.0184
IN,Indiana,Non-Judicial,0.0086,1,4,120,300,0.009,0.06,0.15,1250,1000,1000,1500,0.3,5000,5000,6,3,12,6,4,0,3,4,350,0,0.0136
KS,Kansas,Judicial,0.0134,0.115,4,180,300,0.013,0.06,0.15,1250,850,1000,1500,0.3,5000,5000,6,3,11,6,4,0,3,4,350,0.0026,0.008
KY,Kentucky,Judicial,0.0083,1,4,100,300,0.016,0.06,0.15,1250,1500,1000,1500,0.3,5000,5000,6,3,12,6,4,0,3,4,350,0.001,0.0128
LA,Louisiana,Judicial,0.0086,0.1,4,180,300,0.017,0.06,0.15,1250,3000,1000,5000,0.3,5000,5000,6,3,10,6,4,0,3,4,500,0,0.0024
MA,Massachusetts,Judicial,0.0114,1,4,150,350,0.003,0.06,0.15,1250,1250,1000,2500,0.3,5000,5000,6,3,7,6,4,0,3,4,650,0.00456,0.0176
MD,Maryland,Non-Judicial,0.0105,1,4,250,350,0.005,0.06,0.15,1250,1500,1000,1500,0.3,5000,5000,6,3,9,6,4,0,3,4,400,0.005,0.0152
ME,Maine,Judicial,0.0124,1,4,110,300,0.003,0.06,0.15,1250,1500,1000,1500,0.3,5000,5000,6,3,15,6,4,0,3,4,500,0.0044,0.0168
MI,Michigan,Non-Judicial,0.0138,0.5,4,200,300,0.008,0.06,0.15,1250,1500,1000,1500,0.3,5000,5000,6,3,11,6,4,0,3,4,300,0.009,0.012
MN,Minnesota,Non-Judicial,0.0111,1,4,180,300,0.009,0.06,0.15,1250,1000,1000,1500,0.3,5000,5000,6,3,12,6,4,0,3,4,300,0.0033,0.0104
MO,Missouri,Non-Judicial,0.0101,0.19,4,200,469,0.015,0.06,0.15,1250,1440,1000,1500,0.3,5000,5000,6,3,5,6,4,0,3,4,350,0,0.0072
MS,Mississippi,Non-Judicial,0.0067,0.1,4,200,300,0.015,0.06,0.15,1250,550,1000,1500,0.3,5000,5000,6,3,5,6,4,0,3,4,350,0,-0.0024
MT,Montana,Non-Judicial,0.0074,0.0135,4,200,300,0.007,0.06,0.15,1250,600,1000,1500,0.3,5000,5000,6,3,8,6,4,0,3,4,400,0,0.0156
NC,North Carolina,Judicial,0.0082,1,4,150,300,0.009,0.06,0.15,1250,1100,1000,1500,0.3,5000,5000,6,3,7,6,4,0,3,4,350,0.002,0.008
ND,North Dakota,Judicial,0.0098,0.09,4,100,300,0.013,0.06,0.15,1250,950,1000,2000,0.3,5000,5000,6,3,9,6,4,0,3,4,350,0,0.0056
NE,Nebraska,Judicial,0.0163,1,4,180,300,0.015,0.06,0.15,1250,850,1000,1500,0.3,5000,5000,6,3,10,6,4,0,3,4,300,0.00225,0.012
NH,New Hampshire,Non-Judicial,0.0193,1,4,200,300,0.003,0.06,0.15,1250,900,1000,1500,0.3,5000,5000,6,3,5,6,4,0,3,4,400,0.015,0.0192
NJ,New Jersey,Judicial,0.0223,1,4,250,350,0.004,0.06,0.15,1250,1300,1000,1500,0.3,5000,5000,6,3,15,6,4,0,3,4,350,0.0121,0.0224
NM,New Mexico,Judicial,0.0067,0.3333,4,230,300,0.01,0.06,0.15,1250,1500,1000,3500,0.3,5000,5000,6,3,10,6,4,0,3,4,350,0,0.0096
NV,Nevada,Non-Judicial,0.0059,0.35,4,150,300,0.004,0.06,0.15,1250,2100,1000,1500,0.3,5000,5000,6,3,10,6,4,0,3,4,650,0.0074,0.0068
NY,New York,Judicial,0.014,1,4,180,998,0.004,0.1,0.2,1250,5000,1000,2000,0.3,10000,5000,6,3,19,6,4,0,3,4,500,0.004,0.02
OH,Ohio,Judicial,0.0159,0.35,4,200,300,0.011,0.06,0.15,1250,1100,1000,1500,0.3,5000,5000,6,3,15,6,4,0,3,4,600,0.007,0.0144
OK,Oklahoma,Judicial,0.0089,0.11,4,220,300,0.027,0.06,0.15,1250,2000,1000,2000,0.3,5000,5000,6,3,11,6,4,0,3,4,300,0.0015,0.0032
OR,Oregon,Non-Judicial,0.0093,1,4,180,300,0.004,0.06,0.15,1250,1500,1000,1500,0.3,5000,5000,6,3,10,6,4,0,3,4,350,0,0.0048
PA,Pennsylvania,Judicial,0.0149,1,4,220,300,0.007,0.06,0.15,1250,3500,1000,1500,0.3,5000,5000,6,3,13,6,4,0,3,4,400,0.01,0.0136
PR,Puerto Rico,Non-Judicial,0.02,0.1,4,100,300,0.004,0.06,0.15,700,1100,1000,1500,0.3,5000,5000,6,3,12,6,4,0,3,4,300,0,0
RI,Rhode Island,Non-Judicial,0.014,1,4,170,350,0.005,0.06,0.15,1250,1500,1000,3500,0.3,5000,5000,6,3,6,6,4,0,3,4,500,0.004,0.0216
SC,South Carolina,Judicial,0.0057,0.04,4,170,300,0.008,0.06,0.15,1250,1500,1000,1500,0.3,5000,5000,6,3,14,6,4,0,3,4,350,0.0037,0.0088
SD,South Dakota,Judicial,0.0117,0.85,4,100,300,0.012,0.06,0.15,1250,850,1000,1500,0.3,5000,5000,6,3,16,6,4,0,3,4,350,0.001,0.0048
TN,Tennessee,Non-Judicial,0.0067,0.25,4,250,300,0.01,0.06,0.15,1250,550,1000,1500,0.3,5000,5000,6,3,5,6,4,0,3,4,250,0.0037,0.0064
TX,Texas,Non-Judicial,0.0168,1,4,220,389,0.013,0.06,0.15,1250,550,1000,1500,0.3,5000,5000,6,3,6,6,4,0,3,4,350,0,0.0016
UT,Utah,Non-Judicial,0.0057,0.55,4,220,300,0.004,0.06,0.15,1250,1100,1000,1500,0.3,5000,5000,6,3,10,6,4,0,3,4,350,0,0.0072
VA,Virginia,Non-Judicial,0.0087,1,4,220,350,0.006,0.06,0.15,1250,600,1000,1500,0.3,5000,5000,6,3,5,6,4,0,3,4,350,0.001,0.0112
VT,Vermont,Judicial,0.0183,1,4,200,300,0.004,0.06,0.15,1250,1500,1000,1500,0.3,5000,5000,6,3,16,6,4,0,3,4,350,0.0125,0.024
WA,Washington,Non-Judicial,0.0087,1,4,160,350,0.003,0.06,0.15,1250,2000,1000,1500,0.3,5000,5000,6,3,10,6,4,0,3,4,400,0.0203,0.0056
WI,Wisconsin,Judicial,0.0161,1,4,200,277,0.007,0.06,0.15,1250,1100,1000,1500,0.3,5000,5000,6,3,18,6,4,0,3,4,300,0.003,0.0176
WV,West Virginia,Non-Judicial,0.0057,0.6,4,150,300,0.008,0.06,0.15,1250,1000,1000,1500,0.3,5000,5000,6,3,5,6,4,0,3,4,350,0.0033,0.0096
WY,Wyoming,Non-Judicial,0.0056,0.095,4,220,300,0.008,0.06,0.15,1250,600,1000,2400,0.3,5000,5000,6,3,8,6,4,0,3,4,500,0,0.0224
