asset_hub_id,purchase_price,purchase_date,outcome_blend,servicing_transfer_duration,performing_duration,pre_mod_duration,mod_duration,pre_fc_duration,fc_progress_duration,fc_left_duration,fc_duration_state_avg,dil_duration,bk_duration,eviction_duration,renovation_duration,reo_marketing_duration,local_market_ext_duration,rural_ext_duration,fc_expenses,fc_legal_fees,other_fc_fees,dil_fees,cfk_fees,bk_legal_fees,eviction_fees,reconciled_rehab_cost,trashout_cost,property_preservation_cost,total_insurance,total_property_tax,total_hoa,total_utility,total_other,acq_costs,am_fees,tax_title_transfer_cost,broker_fees,servicing_board_fee,servicing_current,servicing_30d,servicing_60d,servicing_90d,servicing_120d,servicing_fc,servicing_bk,servicing_liq_fee,principal_collect,interest_collect,mod_down_payment,rental_income,cam_income,other_income,expected_exit_date,expected_gross_proceeds,expected_net_proceeds,expected_pl,expected_cf,expected_irr,expected_moic,expected_npv,expected_pv,outcome_perf,outcome_mod,outcome_fcsale,outcome_dil_asis,outcome_dil_arv,outcome_reo_asis,outcome_reo_arv,bid_pct_upb,bid_pct_td,bid_pct_sellerasis,bid_pct_pv
1,25350.7,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/26/2021,47000,47000,,,,,,,,,,,,,,,,,
2,271536.28,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/20/2023,550500,550500,,,,,,,,,,,,,,,,,
3,451384.51,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/20/2023,645000,645000,,,,,,,,,,,,,,,,,
4,298435.09,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/26/2021,471550,471550,,,,,,,,,,,,,,,,,
5,299059.49,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/20/2023,532000,532000,,,,,,,,,,,,,,,,,
6,185424.57,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/23/2022,302000,302000,,,,,,,,,,,,,,,,,
7,199301.67,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/25/2022,309000,309000,,,,,,,,,,,,,,,,,
8,98199.71,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/21/2021,96250,96250,,,,,,,,,,,,,,,,,
9,1747728.66,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/26/2021,2565000,2565000,,,,,,,,,,,,,,,,,
10,399048.56,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/20/2023,479200,479200,,,,,,,,,,,,,,,,,
11,115489.19,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/20/2023,156000,156000,,,,,,,,,,,,,,,,,
12,377751.81,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/20/2023,599000,599000,,,,,,,,,,,,,,,,,
13,925631.33,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/23/2022,1275000,1275000,,,,,,,,,,,,,,,,,
14,301314.77,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/20/2023,525000,525000,,,,,,,,,,,,,,,,,
15,151668.86,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/23/2022,243750,243750,,,,,,,,,,,,,,,,,
16,29285.67,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/25/2021,42000,42000,,,,,,,,,,,,,,,,,
17,68179.1,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/25/2022,108750,108750,,,,,,,,,,,,,,,,,
18,45722.35,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/26/2021,56000,56000,,,,,,,,,,,,,,,,,
