assetidhub,servicing_transfer_duration,pre_fc_duration,fc_duration_state_avg,renovation_duration,reo_marketing_duration,dil_duration,reconciled_rehab_cost,total_property_tax,total_insurance,total_hoa,total_utility,broker_fees,am_liq_fees,trashout_cost,fc_expenses,dil_fees,acq_costs,servicing_fc,servicing_liq_fee,expected_gross_proceeds,purchase_price,bid_pct_upb,bid_pct_td,bid_pct_sellerasis,expected_exit_date,expected_net_proceeds,expected_pl,expected_moic,expected_irr,outcome_dil_asis,outcome_dil_arv,outcome_reo_arv,outcome_reo_asis,purchase_date,expected_pv
1078,0, 3 , 10 , 4 , 4 , 2 ," 30,000 "," 7,594 "," 2,788 ", -   ," 2,230 "," 43,600 "," 8,175 ",," 2,600 "," 3,500 "," 2,436 "," 1,017 ",," 545,000 "," 338,374.57 ",144.1%,82.0%,75.4%,10/18/2026,," 109,361 ",1.25x,12.8%,35%,0%,0%,65%,12/18/2024,
1104,0, 3 , 10 , 4 , 4 , 2 ," 125,000 "," 6,427 "," 2,788 ", -   ," 2,230 "," 52,000 "," 9,750 ",," 2,600 "," 3,500 "," 2,737 "," 1,017 ",," 650,000 "," 300,136.18 ",109.2%,45.1%,79.0%,10/18/2026,," 150,046 ",1.30x,15.2%,35%,0%,0%,65%,12/18/2024,
1118,0, 3 , 8 ,, 4 , 2 , -   ," 6,597 "," 2,025 ", -   ," 3,564 "," 26,000 "," 4,875 ",," 2,925 "," 3,500 "," 2,528 ", 901 ,," 325,000 "," 201,665.00 ",81.6%,41.9%,73.9%,4/18/2026,," 73,760 ",1.29x,21.0%,35%,0%,0%,65%,12/18/2024,
1132,0, 3 , 8 ,, 4 , 2 , -   ," 8,579 "," 2,025 ", -   ," 3,564 "," 32,000 "," 6,000 ",," 2,925 "," 3,500 "," 2,570 ", 901 ,," 400,000 "," 274,045.00 ",108.5%,53.7%,77.2%,4/18/2026,," 68,346 ",1.21x,14.9%,35%,0%,0%,65%,12/18/2024,
1097,0, 3 , 8 ,, 4 , 2 , -   ," 6,452 "," 2,025 ", -   ," 3,564 "," 25,200 "," 4,725 ",," 2,925 "," 3,500 "," 2,329 ", 901 ,," 315,000 "," 195,082.00 ",88.4%,50.5%,73.1%,4/18/2026,," 71,467 ",1.29x,21.0%,35%,0%,0%,65%,12/18/2024,
1072,0, 3 , 8 ,, 4 , 2 , -   ," 4,954 "," 2,025 ", -   ," 3,564 "," 27,200 "," 5,100 ",," 2,925 "," 3,500 "," 2,340 ", 901 ,," 340,000 "," 170,365.00 ",76.7%,26.0%,83.1%,4/18/2026,," 120,636 ",1.55x,38.3%,35%,0%,0%,65%,12/18/2024,
1124,0, 3 , 8 ,, 4 , 2 , -   ," 6,935 "," 2,025 ", -   ," 3,564 "," 26,400 "," 4,950 ",," 2,925 "," 3,500 "," 2,322 ", 901 ,," 330,000 "," 204,996.00 ",93.4%,42.1%,71.4%,4/18/2026,," 74,862 ",1.29x,21.0%,35%,0%,0%,65%,12/18/2024,
1115,0, 3 , 8 ,, 4 , 2 , -   ," 7,999 "," 2,025 ", -   ," 3,564 "," 32,000 "," 6,000 ",," 2,925 "," 3,500 "," 2,717 ", 901 ,," 400,000 "," 272,180.00 ",99.9%,43.1%,82.2%,4/18/2026,," 70,639 ",1.21x,15.5%,35%,0%,0%,65%,12/18/2024,
1111,0, 3 , 8 ,, 4 , 2 , -   ," 9,062 "," 2,025 ", -   ," 3,564 "," 34,000 "," 6,375 ",," 2,925 "," 3,500 "," 3,083 ", 901 ,," 425,000 "," 300,300.00 ",93.5%,54.8%,80.1%,4/18/2026,," 64,140 ",1.18x,12.9%,35%,0%,0%,65%,12/18/2024,
1133,0, 3 , 8 , 4 , 4 , 2 ," 100,000 "," 21,092 "," 2,525 ", -   ," 4,444 "," 80,000 "," 15,000 ",," 2,925 "," 3,500 "," 4,074 ", 901 ,," 1,000,000 "," 509,575.00 ",112.4%,62.4%,72.8%,8/18/2026,," 269,464 ",1.37x,20.5%,35%,0%,0%,65%,12/18/2024,
1083,0, 3 , 4 ,, 4 , 2 , -   ," 4,743 "," 1,510 ", -   ," 1,208 "," 66,000 "," 12,375 ",," 2,633 "," 3,500 "," 4,323 ", 675 ,," 825,000 "," 453,894.29 ",93.3%,45.4%,59.7%,12/18/2025,," 285,014 ",1.53x,52.3%,35%,0%,0%,65%,12/18/2024,
1096,0, 3 , 4 ,, 4 , 2 , -   ," 4,370 "," 1,510 ", -   ," 1,208 "," 70,000 "," 13,125 ",," 2,633 "," 3,500 "," 3,965 ", 675 ,," 875,000 "," 632,514.00 ",144.2%,60.4%,90.4%,12/18/2025,," 153,125 ",1.21x,21.1%,35%,0%,0%,65%,12/18/2024,
1116,0, 3 , 5 ,, 4 , 2 , -   ," 7,169 "," 1,727 ", -   ," 3,454 "," 50,000 "," 9,375 ",," 1,950 "," 3,500 "," 2,853 ", 770 ,," 625,000 "," 405,521.00 ",139.7%,60.9%,68.4%,1/18/2026,," 146,556 ",1.31x,26.1%,35%,0%,0%,65%,12/18/2024,
1117,0, 3 , 5 ,, 4 , 2 , -   ," 5,380 "," 1,727 ", -   ," 3,454 "," 35,200 "," 6,600 ",," 1,950 "," 3,500 "," 2,944 ", 770 ,," 440,000 "," 300,472.00 ",99.3%,50.5%,67.5%,1/18/2026,," 83,103 ",1.23x,19.9%,35%,0%,0%,65%,12/18/2024,
1094,0, 3 , 5 ,, 4 , 2 , -   ," 4,325 "," 1,727 ", -   ," 3,454 "," 32,000 "," 6,000 ",," 1,950 "," 3,500 "," 2,368 ", 770 ,," 400,000 "," 261,442.86 ",115.8%,57.6%,73.1%,1/18/2026,," 86,962 ",1.28x,23.7%,35%,0%,0%,65%,12/18/2024,
