Servicer ID,Entity
713596,"WFL Homes, LLC"
713288,"Reliant Trust, Series FLC"
713606,"WFL Homes, LLC"
713378,"WFL Homes, LLC"
713233,"WFL Homes, LLC"
713709,"WFL Homes, LLC"
713617,"Reliant Trust, Series FLC"
713084,"WFL Homes, LLC"
713192,"WFL Homes, LLC"
713420,"Reliant Trust, Series FLC"
682572,"AFL Mortgage 2, LLC"
713167,"Reliant Trust, Series FLC"
713589,"WFL Homes, LLC"
713505,"Reliant Trust, Series FLC"
713170,"WFL Homes, LLC"
713079,"WFL Homes, LLC"
713723,"WFL Homes, LLC"
645746,"AFL Mortgage, LLC"
713417,"WFL Homes, LLC"
713710,"Reliant Trust, Series FLC"
713462,"WFL Homes, LLC"
713651,"WFL Homes, LLC"
713451,"WFL Homes, LLC"
713635,"WFL Homes, LLC"
2000023946,"AFL Mortgage, LLC"
682488,"AFL Mortgage 2, LLC"
627368,"AFL Mortgage, LLC"
713435,"Reliant Trust, Series FLC"
682673,"AFL Mortgage 2, LLC"
713273,"WFL Homes, LLC"
713228,"WFL Homes, LLC"
713475,"WFL Homes, LLC"
713147,"WFL Homes, LLC"
713675,"Reliant Trust, Series FLC"
713309,"WFL Homes, LLC"
713354,"WFL Homes, LLC"
713204,"WFL Homes, LLC"
713620,"WFL Homes, LLC"
713310,"WFL Homes, LLC"
713365,"WFL Homes, LLC"
713345,"WFL Homes, LLC"
713091,"WFL Homes, LLC"
713185,"WFL Homes, LLC"
713529,"WFL Homes, LLC"
713480,"WFL Homes, LLC"
713738,"WFL Homes, LLC"
713066,"WFL Homes, LLC"
713442,"WFL Homes, LLC"
626309,"AFL Mortgage, LLC"
2000026338,"AFL Mortgage, LLC"
713055,"WFL Homes, LLC"
713550,"WFL Homes, LLC"
682587,"AFL Mortgage 2, LLC"
713534,"Reliant Trust, Series FLC"
713390,"Reliant Trust, Series FLC"
713574,"Reliant Trust, Series FLC"
713642,"WFL Homes, LLC"
2000026344,"AFL Mortgage, LLC"
2000026358,"AFL Mortgage, LLC"
625764,"AFL Mortgage, LLC"
645551,"AFL Mortgage, LLC"
2000026439,"AFL Mortgage, LLC"
2000024162,"AFL Mortgage, LLC"
20001,"AFL Mortgage, LLC"
20002,"AFL Mortgage, LLC"
2000021539,"AFL Mortgage, LLC"
2000021892,"AFL Mortgage, LLC"
2000024782,"AFL Mortgage, LLC"
713125,"WFL Homes, LLC"
627313,"AFL Mortgage, LLC"
2000026291,"AFL Mortgage, LLC"
713215,"WFL Homes, LLC"
713516,"WFL Homes, LLC"
713338,"Reliant Trust, Series FLC"
627768,"AFL Mortgage, LLC"
2000023945,"AFL Mortgage, LLC"
713497,"Reliant Trust, Series FLC"
682659,"AFL Mortgage 2, LLC"
682495,"AFL Mortgage 2, LLC"
713156,"WFL Homes, LLC"
2000026442,"AFL Mortgage, LLC"
2000026321,"AFL Mortgage, LLC"
